algorithm,ari,cost_ratio_vs_kmeans,cost_sse,d,dataset,extra__algorithm,extra__avg_update_ms,extra__c2,extra__chunk_size,extra__cost_is_approx,extra__d,extra__eps,extra__facility_final,extra__levels_used,extra__m_factor,extra__m_summary,extra__mode,extra__opened_centers,extra__peak_mem_bytes,extra__points_seen,extra__r,extra__state_bytes,extra__stream_is_single_pass,extra__summary_points,extra__summary_size,extra__throughput_pts_per_sec,k,n,nmi,quality_loss_pct_vs_kmeans,runtime_sec,seed,stream_model,sweep_id
[1]Guha2002_STREAMKMeans_Paper,0.60681,1.01355,33617.63904,10.0,anisotropic,,59.3527,,8192.0,,,,,1.0,2.0,32.0,,,13525577.0,10000.0,,2816.0,,32.0,,77334.93542,8.0,10000.0,0.74919,1.35587,0.1293,77.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.60124,1.0227,33920.96484,10.0,anisotropic,,0.13901,,,,,,128.0,,,,,77.0,6780629.0,10000.0,,3696.0,,,,7193.69752,8.0,10000.0,0.74712,2.27039,1.3901,77.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.55968,1.8599,61689.1289,10.0,anisotropic,Ailon2009 faithful (no refinement),1432.41566,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3489.99341,8.0,10000.0,0.7303,85.99033,2.86533,77.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.61977,1.10424,36625.52522,10.0,anisotropic,,3.94238,8.0,1024.0,0.0,10.0,0.3,,,,,batch_stream_wrapper,,13524019.0,10000.0,10.0,1424.0,0.0,,,224026.46666,8.0,10000.0,0.76181,10.42454,0.04463,77.0,insertion-only,Kmeans_sweep
KMeans(sk),0.62265,1.0,33166.67968,10.0,anisotropic,,,,,,,,,,,,,,6797685.0,10000.0,,,,,,118927.21656,8.0,10000.0,0.75663,0.0,0.08408,211.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.6214,1.00218,33239.09375,10.0,anisotropic,,,,,,,,,,,,,,6798669.0,10000.0,,,,,,322735.94361,8.0,10000.0,0.75636,0.21833,0.03098,211.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.59183,1.01843,33778.16487,10.0,anisotropic,,60.0516,,8192.0,,,,,1.0,2.0,32.0,,,13525545.0,10000.0,,2816.0,,32.0,,77187.39446,8.0,10000.0,0.74247,1.84367,0.12955,211.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.62054,1.07262,35575.5039,10.0,anisotropic,,0.13724,,,,,,128.0,,,,,72.0,6779173.0,10000.0,,3456.0,,,,7286.42464,8.0,10000.0,0.75532,7.26278,1.37241,211.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.58587,1.69315,56156.17187,10.0,anisotropic,Ailon2009 faithful (no refinement),1411.44145,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3541.88979,8.0,10000.0,0.74936,69.31502,2.82335,211.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.62234,1.0019,33229.71418,10.0,anisotropic,,3.86253,8.0,1024.0,0.0,10.0,0.3,,,,,batch_stream_wrapper,,13524503.0,10000.0,10.0,1424.0,0.0,,,224848.79087,8.0,10000.0,0.75617,0.19005,0.04447,211.0,insertion-only,Kmeans_sweep
KMeans(sk),0.62447,1.0,33167.03906,10.0,anisotropic,,,,,,,,,,,,,,6797685.0,10000.0,,,,,,119538.10523,8.0,10000.0,0.75744,0.0,0.08365,42.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.60971,1.08882,36113.18359,10.0,anisotropic,,,,,,,,,,,,,,6799580.0,10000.0,,,,,,268931.36277,8.0,10000.0,0.76824,8.88274,0.03718,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.63851,1.00651,33383.05015,10.0,anisotropic,,72.48002,,8192.0,,,,,1.0,2.0,32.0,,,13525545.0,10000.0,,2816.0,,32.0,,63243.0565,8.0,10000.0,0.76436,0.65128,0.15812,42.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.64358,1.01145,33547.02343,10.0,anisotropic,,0.15508,,,,,,128.0,,,,,64.0,6777061.0,10000.0,,3072.0,,,,6448.0377,8.0,10000.0,0.7671,1.14566,1.55085,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.61088,1.62721,53969.78125,10.0,anisotropic,Ailon2009 faithful (no refinement),1447.89693,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3452.68895,8.0,10000.0,0.76491,62.72113,2.89629,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.62385,1.00554,33350.97352,10.0,anisotropic,,3.90607,8.0,1024.0,0.0,10.0,0.5,,,,,batch_stream_wrapper,,13524119.0,10000.0,10.0,1424.0,0.0,,,223841.34125,8.0,10000.0,0.75887,0.55457,0.04467,42.0,insertion-only,Kmeans_sweep
KMeans(sk),0.61944,1.0,33167.92187,10.0,anisotropic,,,,,,,,,,,,,,6797637.0,10000.0,,,,,,107804.21676,8.0,10000.0,0.75565,0.0,0.09276,77.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.62824,1.07654,35706.6875,10.0,anisotropic,,,,,,,,,,,,,,6798653.0,10000.0,,,,,,342323.60706,8.0,10000.0,0.76502,7.65428,0.02921,77.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.60681,1.01355,33617.63886,10.0,anisotropic,,73.81137,,8192.0,,,,,1.0,2.0,32.0,,,13525577.0,10000.0,,2816.0,,32.0,,61953.96639,8.0,10000.0,0.74919,1.35587,0.16141,77.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.60124,1.0227,33920.96484,10.0,anisotropic,,0.15624,,,,,,128.0,,,,,77.0,6780629.0,10000.0,,3696.0,,,,6400.04147,8.0,10000.0,0.74712,2.27039,1.56248,77.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.55968,1.8599,61689.1289,10.0,anisotropic,Ailon2009 faithful (no refinement),1415.96441,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3530.5285,8.0,10000.0,0.7303,85.99033,2.83243,77.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.61977,1.10424,36625.52522,10.0,anisotropic,,3.88545,8.0,1024.0,0.0,10.0,0.5,,,,,batch_stream_wrapper,,13523791.0,10000.0,10.0,1424.0,0.0,,,224060.76527,8.0,10000.0,0.76181,10.42454,0.04463,77.0,insertion-only,Kmeans_sweep
KMeans(sk),0.62265,1.0,33166.67968,10.0,anisotropic,,,,,,,,,,,,,,6797685.0,10000.0,,,,,,117880.56635,8.0,10000.0,0.75663,0.0,0.08483,211.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.6214,1.00218,33239.09375,10.0,anisotropic,,,,,,,,,,,,,,6798669.0,10000.0,,,,,,299419.871,8.0,10000.0,0.75636,0.21833,0.03339,211.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.59183,1.01843,33778.16491,10.0,anisotropic,,68.83689,,8192.0,,,,,1.0,2.0,32.0,,,13525545.0,10000.0,,2816.0,,32.0,,65738.67369,8.0,10000.0,0.74247,1.84367,0.15211,211.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.62054,1.07262,35575.5039,10.0,anisotropic,,0.15701,,,,,,128.0,,,,,72.0,6779173.0,10000.0,,3456.0,,,,6369.01956,8.0,10000.0,0.75532,7.26278,1.5701,211.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.58587,1.69315,56156.17187,10.0,anisotropic,Ailon2009 faithful (no refinement),1445.72062,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3457.8703,8.0,10000.0,0.74936,69.31502,2.89195,211.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.62234,1.0019,33229.71418,10.0,anisotropic,,3.83309,8.0,1024.0,0.0,10.0,0.5,,,,,batch_stream_wrapper,,13522772.0,10000.0,10.0,1424.0,0.0,,,228736.99232,8.0,10000.0,0.75617,0.19005,0.04371,211.0,insertion-only,Kmeans_sweep
KMeans(sk),0.62447,1.0,33167.03906,10.0,anisotropic,,,,,,,,,,,,,,6797685.0,10000.0,,,,,,128398.20618,8.0,10000.0,0.75744,0.0,0.07788,42.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.60971,1.08882,36113.18359,10.0,anisotropic,,,,,,,,,,,,,,6798669.0,10000.0,,,,,,270275.74883,8.0,10000.0,0.76824,8.88274,0.03699,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.63851,1.00651,33383.05007,10.0,anisotropic,,66.5286,,8192.0,,,,,1.0,2.0,32.0,,,13525545.0,10000.0,,2816.0,,32.0,,68109.23942,8.0,10000.0,0.76436,0.65128,0.14682,42.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.64358,1.01145,33547.02343,10.0,anisotropic,,0.15506,,,,,,128.0,,,,,64.0,6777061.0,10000.0,,3072.0,,,,6449.10988,8.0,10000.0,0.7671,1.14566,1.5506,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.61088,1.62721,53969.78125,10.0,anisotropic,Ailon2009 faithful (no refinement),1432.42997,,8192.0,,,,,,,,,,52321311.0,10000.0,,5376.0,,,112.0,3489.93185,8.0,10000.0,0.76491,62.72113,2.86538,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.62385,1.00554,33350.97352,10.0,anisotropic,,3.90979,8.0,1024.0,0.0,10.0,0.8,,,,,batch_stream_wrapper,,13522772.0,10000.0,10.0,1424.0,0.0,,,223716.14895,8.0,10000.0,0.75887,0.55457,0.04469,42.0,insertion-only,Kmeans_sweep
KMeans(sk),0.61944,1.0,33167.92187,10.0,anisotropic,,,,,,,,,,,,,,6797637.0,10000.0,,,,,,116816.63001,8.0,10000.0,0.75565,0.0,0.0856,77.0,insertion-only,Kmeans_sweep
